Topic,Count,Name,Representation,Representative_Docs,Data_Source
-1,1172,-1_离婚_赶快离婚_我的胯下不能生出歧视我的性别_离婚吧,"['离婚', '赶快离婚', '我的胯下不能生出歧视我的性别', '离婚吧', '离婚啊', '支持离婚', '不婚不育芳龄永继', '挺好的', '离婚是对的', '不婚不育']","['离婚？？？？？', '离婚， 远离渣男', '离婚，还爱爱']",bullets
0,349,0_二胎_还二胎_我是第二胎_二胎来的太快就像龙卷风,"['二胎', '还二胎', '我是第二胎', '二胎来的太快就像龙卷风', '二胎都有了', '我要二胎', '还生二胎', '但是那时候不允许二胎', '二胎来的', '哈哈哈哈哈哈哈']","['二胎', '二胎？', '二胎']",bullets
1,254,1_三胎_生三胎_三胎了_三孩,"['三胎', '生三胎', '三胎了', '三孩', '三胎呵呵', '支持三胎', '鼓励三胎', '三胎呢', '说三胎的', '三胎来了']","['三胎()', '三胎…', '三胎']",bullets
2,149,2_不是歧视_职高怎么了_黑人最歧视亚洲人却要求别人不要歧视他们_身高歧视啊,"['不是歧视', '职高怎么了', '黑人最歧视亚洲人却要求别人不要歧视他们', '身高歧视啊', '歧视', '活该被歧视', '我也歧视你', '我也歧视你 活该被歧视', '但大多数的专科确实能力比较差 林家班果然歧视女人', '但大多数的专科确实能力比较差 林家班果然歧视女人 硬核歧视台湾人']","['不是歧视，但大多数的专科确实能力比较差', '不会歧视，但是不建议浪费读书的时间搞这些，万一是渣男就……', '不是歧视 是最好不要外跑 留在自己国家 要不然怎么那么多人觉']",bullets
3,128,3_离婚带娃_一个不能生的男人有什么用_你在侮辱前夫 前夫 还是不爱了吧_你在侮辱前夫 前夫,"['离婚带娃', '一个不能生的男人有什么用', '你在侮辱前夫 前夫 还是不爱了吧', '你在侮辱前夫 前夫', '你在侮辱前夫', '你前老公想要你不要 你离婚 后面找的弟弟玩', '你前老公想要你不要 你离婚', '你前老公想要你不要', '你们不管家庭暴力', '但无论谁 两个人的事情又怎么样 就像离婚一样']","['不跟他说，容易离婚。之后祝他儿孙满堂，绿的发光', '中国女孩，结婚以后，为了孩子不离婚的太多了，你们不管家庭暴力', '你前老公想要你不要，你离婚，后面找的弟弟玩，弟弟不要，你想要']",bullets
4,108,4_私自_生育权是女性自己的权利_生育权属于女性_女性才有生育权,"['私自', '生育权是女性自己的权利', '生育权属于女性', '女性才有生育权', '女性拥有生育权', '女性有生育权', '想生就生', '是的', '一个女孩子的生育能力要别人做决定', '中国女性拥有自主生育权 没毛病呀 这是女方的生育权']","['从法律上来说只有女性有生育权，所以生不生不是两个人的事，姐妹', '想生就生，不想就不想，这是女性的权利，生育风险很大的', '是的，女性有生育权，想跟谁生就跟谁生，想生就生，想不生就不生']",bullets
5,92,5_离婚吧_不离婚_不值得_千万别离婚,"['离婚吧', '不离婚', '不值得', '千万别离婚', 'woc赶紧离婚', '休夫 丧夫 要我我就离婚', '他家断子绝孙是报应 再不离婚说句难听的 死了还要和他葬一起', '他家断子绝孙是报应 再不离婚说句难听的', '他家断子绝孙是报应', '他们会祸害你一辈子的 建议离婚或者外面各玩各的 真的没意思']","['主动离婚，休夫，丧夫', '三到十年吧，不值得，离婚就是了', '你俩可千万不能离婚啊，一定要在一起，千万不能祸害别人啊，乖听']",bullets
6,89,6_up每次让她离婚_为这种人不值啊_为这种人不值啊 让她离婚滚蛋就好了_之前又何苦随大流相亲结婚又离婚,"['up每次让她离婚', '为这种人不值啊', '为这种人不值啊 让她离婚滚蛋就好了', '之前又何苦随大流相亲结婚又离婚', '之前又何苦随大流相亲结婚又离婚 独立女性也可以', '之前又何苦随大流相亲结婚又离婚 独立女性也可以 因为她不听话所以离婚的', '之前节目算命就说过她', '之前节目算命就说过她 未婚生子离婚当小三什么的', '之前节目算命就说过她 未婚生子离婚当小三什么的 我妈也是当初为了我不离婚', '也不想跟她家有经济来往']","['对女人太不公平了吧，中国，结扎了，离婚再婚的可能性都很小，', '不是那个想办法阻止离婚的“最美”红娘吧？？？', '不是，这女孩傻的吗？生下来又能怎样，人渣肯定不会离婚啊，一直']",bullets
7,88,7_丁克_爱生不生 当丁克吧 兵役可是强制_丁克吧_爱生不生 当丁克吧,"['丁克', '爱生不生 当丁克吧 兵役可是强制', '丁克吧', '爱生不生 当丁克吧', '丁克了丁克了', '丁克丁克', '做丁克吧', '兵役可是强制', '当丁克吧', '丁克路过']","['00后每日恐婚，丁克，丁克，丁克', '怀孕可不强制，爱生不生，当丁克吧，兵役可是强制', '怀孕可不强制，爱生不生，当丁克吧，兵役可是强制']",bullets
8,83,8_一方不同意就不能堕胎_但如果把堕胎用来标榜这个权利就是sx 就是这_但如果把堕胎用来标榜这个权利就是sx 就是这 当有一天生育率和堕胎率走向两极_但是不管怎么说生育的后遗症比堕胎大呀,"['一方不同意就不能堕胎', '但如果把堕胎用来标榜这个权利就是sx 就是这', '但如果把堕胎用来标榜这个权利就是sx 就是这 当有一天生育率和堕胎率走向两极', '但是不管怎么说生育的后遗症比堕胎大呀', '但是不管怎么说生育的后遗症比堕胎大呀 流产次数多了以后想生也生不了了', '但是不管怎么说生育的后遗症比堕胎大呀 流产次数多了以后想生也生不了了 原来根本问题是工业化社会的生育率下降', '但是合理生育和合法堕胎也要反对吗', '但是合理生育和合法堕胎也要反对吗 堕胎万岁', '但是合理生育和合法堕胎也要反对吗 堕胎万岁 计划生育万岁', '但是堕胎堕多了就无法生育了']","['绝对会的，以后生育率如果跌破冰点，别说堕胎权了，单身人群都要', '但凡你知道生育和抚养多辛苦，你就不会反对堕胎了', '与其不让人堕胎，不如降低生育成本生活成本']",bullets
