主题ID,数据来源,文档数,前10关键词,关键词得分
0,comments,285,"没有ky, 二胎, 天呐, 为什么最近老是推送给我这种, 已经放弃二胎, 又想骗我们生二胎, 想起来小时候墙上面喷的一胎结扎二胎上环, 我二胎都get了, 我娃12年的 现在, 我娃12年的","0.0773, 0.0726, 0.0726, 0.0559, 0.0559, 0.0559, 0.0559, 0.0559, 0.0559, 0.0559"
1,comments,260,"不想生孩子, 不想生孩子了, 我不想生孩子, 好可怕, 不想生就不生, 但是, 男方不想结婚不想生孩子, 相亲网站认识 男方不想结婚不想生孩子, 不想生的, 真的害怕","0.0837, 0.0465, 0.0437, 0.0437, 0.0415, 0.0361, 0.0336, 0.0336, 0.0336, 0.0336"
2,comments,179,"价值, 劳动, 私生子事件, 不歧视, 家庭劳动, 感觉这里一些人对女生年龄充满恶意, 慢慢变成强势文化, 我倾向于认为是一段婚姻存续期间, 我倾向于认为是一段婚姻存续期间 只有配偶一个性伴侣, 我倾向于认为是一段婚姻存续期间 只有配偶一个性伴侣 而非","0.0263, 0.0210, 0.0210, 0.0210, 0.0210, 0.0152, 0.0152, 0.0152, 0.0152, 0.0152"
3,comments,169,"禁止堕胎, 比起默认 写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权, 比起默认, 写进宪法的好处是, 写进宪法的好处是 比起默认, 写进宪法的好处是 比起默认 写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权, 写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权, 问题, 自由, 同时","0.1196, 0.0690, 0.0690, 0.0690, 0.0690, 0.0690, 0.0690, 0.0598, 0.0598, 0.0477"
4,comments,149,"w妇女年, 避孕, 皮埋, 一定要做好避孕措施, 10, 为什么要戴这个啊 现在避孕方法不是有很多吗, 在双方没有怀孕生育意愿时, 各种方法也都短暂试过, 可以男生戴避孕套 或者之后女生不是可以吃避孕药吗 或者不想生, 可以男生戴避孕套 或者之后女生不是可以吃避孕药吗","0.0403, 0.0353, 0.0322, 0.0322, 0.0265, 0.0233, 0.0233, 0.0233, 0.0233, 0.0233"
5,comments,137,"离婚吧, 前夫, 先离婚, 离婚啊, 离婚了没, 还不是离婚了, 渣男 还不是离婚了, 应该早点跟渣男离婚, 可惜了他老婆, 可惜了他老婆 应该早点跟渣男离婚","0.2546, 0.2091, 0.2091, 0.1965, 0.1512, 0.1512, 0.1512, 0.1512, 0.1512, 0.1512"
6,comments,99,"生育率低, 三个维度中间修修补补调整调整, 天然带来生育意愿的下降, 天然带来生育意愿的下降 人口不足又和工业时代对工人的要求矛盾, 天然带来生育意愿的下降 人口不足又和工业时代对工人的要求矛盾 在如何增加人口这个问题上, 在这之前能挨一天是一天, 家长权威性降低 天然带来生育意愿的下降 人口不足又和工业时代对工人的要求矛盾, 工业社会带来的养育成本巨幅上升, 工业社会带来的养育成本巨幅上升 家长权威性降低, 工业社会带来的养育成本巨幅上升 家长权威性降低 天然带来生育意愿的下降","0.0616, 0.0474, 0.0474, 0.0474, 0.0474, 0.0474, 0.0474, 0.0474, 0.0474, 0.0474"
7,comments,70,"一次性买断能做家务能满足你除生育的一切需求, 被霸凌 升学考试竞争激烈 大学毕业就业难, 被霸凌 升学考试竞争激烈, 被霸凌, 房贷车贷 孩子学前教育 上学, 房贷车贷 孩子学前教育, 房贷车贷, 孩子学前教育 上学 被霸凌, 孩子学前教育 上学, 孩子学前教育","0.0998, 0.0998, 0.0998, 0.0998, 0.0998, 0.0998, 0.0998, 0.0998, 0.0998, 0.0998"
8,comments,61,"丁克, 谢谢, 丁克税 哔哩哔哩, 苏联居然真开征了单身税 丁克税, 苏联居然真开征了单身税, 由缰小记 苏联居然真开征了单身税 丁克税, 由缰小记 苏联居然真开征了单身税, 由缰小记, 我丁克, 哔哩哔哩","0.3025, 0.2335, 0.2188, 0.2188, 0.2188, 0.2188, 0.2188, 0.2188, 0.2188, 0.2188"
9,comments,55,"可笑的是这个国家竟然实行了三十年的计划生育, 广告的国家之一, 广告的国家之一 可笑的是这个国家竟然实行了三十年的计划生育, 为了响应三胎, 中国是全世界少数几个不让播 广告的国家之一, 中国是全世界少数几个不让播, 中国是全世界少数几个不让播 广告的国家之一 可笑的是这个国家竟然实行了三十年的计划生育, 不大团圆怎么宣传三胎啊, 不是说三胎么 搞什么避孕药 不大团圆怎么宣传三胎啊, 不大团圆怎么宣传三胎啊 g姐","0.4285, 0.4285, 0.4285, 0.4285, 0.4285, 0.4285, 0.4285, 0.2430, 0.2430, 0.2430"
10,comments,52,"尊重生命, 保护好自己, 父亲, 总之, 不是不看科普 不去了解这些糟糕的情况就不会发生 虽然是小概率事件, 不然为什么不同的哪个阶段 有经济学家 社会学家等等专业人士来对现在的大环境进行分析呢, 不然为什么不同的哪个阶段, 不然为什么不同的哪个阶段 有经济学家, 不是不看科普, 不是不看科普 不去了解这些糟糕的情况就不会发生","0.2188, 0.2017, 0.2017, 0.1605, 0.1241, 0.1241, 0.1241, 0.1241, 0.1241, 0.1241"
