cleaned_text,text_length
做自己就好，丁克可以找有共同理想的共度人生，想和爱的人一起有孩子就要个孩子，别你不生孩子就觉得别人生孩子就是工具就被迫就是奴隶，你生孩子就觉得不生孩子的枉了此生，这种人最恶心,87
做试管的女人都在哭，男人都在发脾气和无所谓，我在医院看到的，男人可换个老婆或者供精，女人做不成就只能离婚了，因为男女在一起就是为了繁衍，既然繁衍不了就是离婚，爱情什么的不存在的。,89
做实了女人就是生育机器,11
做人流的也不全部是那些乱来意外怀孕的，还有好多想生男孩或者女孩的，检查出来不是自己想要的性别就引产了。只能说做女人太难咯，就算结婚之前不怀孕，也免不了结婚后要去堕胎甚至引产,86
做丁克是最好选择，自己都苦，何必连累下一代。,22
坐标北美，我们学的是Mirena/Kyleena虽然是靠“激素”避孕，但是激素作用是局部的，不属于OCP那种全身吸收的。再者，mirena/kyleena没有estrogen，OCP大部分都是estrogen+progesterone。。。所以吃药的风险（比如PE）比mirena高多了。所以我这边Mirena普及率很高。反而铜环基本上没人用，因为出血量会增加，谁想要来姨妈出更多血啊。。。 社会文化不同，女性的生活质量真的太不一样了。。,219
作为一名孕妇，我只能说过于真实了，我除了没孕反和视频里几乎一样，尤其产检的部分看得又好笑又辛酸。我想说如果要生孩子一定要有家人的鼎力支持和无微不至的照顾，只靠自己撑过去几乎是不可能的。希望想生的大家顺顺利利的，不想生的一直自由潇洒吧,116
作为一个生了二胎的妈妈，我当初产检和生产的时候看到有些孕妇满肚子的红色纹路都会感到很震撼，真的太不容易了。,53
作为一个女儿，我母亲也有严重的妊娠纹，而且很多年了。最惨的是因为她生我比较早还是剖腹产是竖切，肚子上有一条黑色的蜈蚣一般的长疤痕。她总是跟我喋喋不休的抱怨，指着疤痕说这就是生我的代价。我从来不会不耐烦，因为我知道她作为一个爱美女性的痛苦。毕竟她可是曾经的中大校花，追求者众多，甚至因为长得清纯甜美成为全校合唱团里唯一的女指挥。家庭条件也好，我外公是中大教授外婆是设备处的一把手，住的是个小公馆能睡席梦思还有个舞厅。国家管制的外国电影她每周都去看，像瓦尔特保卫萨拉热窝或傲慢与偏见之类的。家里现在还留着当年的黑胶唱片，也不知道是怎么从wg时期保存下来的。她周围的朋友都叫她千金大小姐。但我妈妈继承了我外公的温柔良善，待人总是宽容又耐心。以前她每次去我的家长会都会被学校里的学生行礼叫老师，我也特别有面子特别开心，为了不给她丢脸我也总是成绩在年级前十名，这样老师宣读成绩的时候她都会笑得很开心。我爱读书的习惯也是妈妈引导的，九几年那时给我买了全套铜版纸的精装百科全书（不止一套），各种电影光碟和杂志。周末时她如果工作忙就会带我去那时刚建成不久的深圳书城，我会带着我的折叠小木凳和三明治与巧克力牛奶在里面呆一整天看书。小学时妈妈也送我去过各种兴趣班，水彩画油画电子琴围棋国际象棋书法钢琴，一开始妈妈带我去时学得很好，但后来全都半途而废了。因为我爸都是一开始不感兴趣，看我小有所成后就说要他陪我去，然后我只要稍有不妥不对就是一个耳光扇我的脸，后来我拿起笔或棋子就发抖，连下笔都不敢，因为但凡他觉得不对就会打我。连看书的习惯也差点被他毁掉。有一天我在家中房间里看书看得入神，突然他冲进房间给我一个耳光，问我为什么不回答他，他在客厅叫我。可是天地良心啊！我根本就没听到！从那以后我在家看书都不敢专心，生怕被打。幸好离婚后回了外公家，外公外婆见我看书专注从来不会打扰我，反而会很高兴，也完全不需要担心挨打。遇事外公总是会温柔耐心的对我说：“XX，我们谈谈好不好呀”，外婆更是因为我是家里的第一个孙子而宠我至极，什么都偏心我，总爱带我出门，遇到熟人就炫耀说这是我的乖孙女儿哦。外人说这是外孙女，外公外婆就会不高兴的纠正，什么外不外的，就是孙女！ 童年时所有的幸福几乎都是妈妈和外公外婆带给我的。,939
作为一个男人，我完全支持女性对于生育的完全自主。 同时我也强调：权利和义务是对等的，只想要权利不想守义务，是不可以的。,59
