cleaned_text,text_length
昂，大家观念不同（非常欢迎讨论）我个人是认为很必要的，特别是结婚对象，婚前同居一段时间就是在看各方面的能力和契合度，如果不合适还能及时止损，毕竟大环境下，分手和离婚还是有区别的。,89
我老婆96年的 二胎都3岁了,14
你这种只有两种结果：不是丁克就是吹，还有一种就是你不行（或她不行）,33
首先很不负责。其次你真能一次不怀，有没有可能双方某一方生育能力就不行,34
你这先说从未中招，被质疑生育能力了立刻承认有意外怀孕的情况都意外怀孕了还教人什么到敏感度再戴套,47
正如你说的，人与人的悲欢不相通，我就三次不戴就中了，不戴的感觉真的太不一样了，但是害怕马上又来二胎，后来就再也不敢不戴了。,61
现在各方面因素导致人类的生育能力一直在下降，我姨是妇幼保健院的医生，我看过统计数据，现在结婚几年不怀孕的人很多，孕检查出畸形儿的也很多，男性的精子质量在下降，女性流产的概率也在大大增加，她说现在女性从怀孕到分娩一帆风顺且能生一个健康的宝宝就跟中奖一样,125
正如你说的，人与人的悲欢不相通，我就三次不戴就中了，不戴的感觉真的太不一样了，但是害怕马上又来二胎，后来就再也不敢不戴了。,61
现在各方面因素导致人类的生育能力一直在下降，我姨是妇幼保健院的医生，我看过统计数据，现在结婚几年不怀孕的人很多，孕检查出畸形儿的也很多，男性的精子质量在下降，女性流产的概率也在大大增加，她说现在女性从怀孕到分娩一帆风顺且能生一个健康的宝宝就跟中奖一样,125
正如你说的，人与人的悲欢不相通，我就三次不戴就中了，不戴的感觉真的太不一样了，但是害怕马上又来二胎，后来就再也不敢不戴了。,61
现在各方面因素导致人类的生育能力一直在下降，我姨是妇幼保健院的医生，我看过统计数据，现在结婚几年不怀孕的人很多，孕检查出畸形儿的也很多，男性的精子质量在下降，女性流产的概率也在大大增加，她说现在女性从怀孕到分娩一帆风顺且能生一个健康的宝宝就跟中奖一样,125
我是小时候社区有那个计划生育展柜还是什么的，我当时不懂，然后就看一个个小包装在那里，还跟小伙伴一起拆开看了看，油油的，然后很嫌弃，就扔垃圾桶了，现在想想好离谱啊,80
二婚有离婚证，那个吧啥也没有,14
结婚不婚检？,6
嗯……有些人只是相互喜欢，还是不想承担生育的责任。这俩不对等吧。,32
太年轻，没条件还不做好安全措施生了孩子你俩就别想要生活质量了。想生又有条件主动备孕，不想要孩子老老实实做好安全措施是对三个人都负责。,66
看的一脸懵，这是生育还是什么（来自未成年人单纯的提问）,27
很多人根本就不了解这个动作还是自己的错了？国内根本就没普及性教育，就连生男生女这一概念都是我因为喜欢看书从一本课外书上看到的，那年我九岁，我妈甚至在自己42的时候都觉得她生了我和我姐两个女儿，第三胎一定是儿子。我不和我妈说生男生女概率各50%和性别由父亲决定，她到现在都不知道,138
想起我初中的时候几个调皮的男同学去计划生育中心领了避孕套 然后拿来教室玩 ...感觉很无知还当乐子玩,50
不要随便做任何手术，任何手术对身体的风险都是存在的，先去医院看是否会影响身体健康，生育能力，再考虑风险和收益是否对等,58
胎儿受精卵着床在子宫内壁，打胎要用器械撑大，在用吸器把胎儿扯碎吸出，为了防止碎片残留和致命感染，就要用刮匙进去刮一圈，刮匙是一个长柄锋利环钩，打胎对身体伤害很大，且有一定感染风险，女生在性行为、打胎、生育等环节需要个人独自承担的致命和感染风险都是不可忽视的，曾经看过有人说打胎完夏天冷的穿羽绒服，体温很低,152
对的，排卵期出血很烦，就去了，做完也不痛经也没各种毛病了，吃嘛嘛香手术一点感觉没有。做完好生育➕我的那个有点大了，就做了，如果不大不用管的。听医生的～,75
但是生育是实打实的鬼门关啊，你只是少部分人休克，更少部分人死亡，这是极端情况啊，但生育不知道死多少人，你得看概率啊，古代就别说了，就现在的技术都不能保证你怀孕能安全生下来没意外呢，生下来也很多撕裂，骨盆移位等等一辈子，不是我们的母亲安全生下来我们就是真的没危险没有人死亡，只是科技发达了提前B超建议你打掉危险的胎儿降低了死亡率，人流就待几天一个月伤害就那么大，更别说十月怀胎，连续痛十几个小时，那么小的阴道出来八斤的婴儿，你do前戏之前也就一根手指粗细吧，八斤婴儿的肩膀盆骨哎那是,240
6啊，解决了多少已生育妈妈的子宫脱垂的问题,21
很正常的生理行为 并不一定是为了生育。。,20
你这还好，我有一朋友，用了N年，16年结婚，19年疫情，才安心造人，结果没成功，现已离婚我就心疼我的份子钱,53
离婚会不会有点太快了,10
溶血？女性O型血第一次怀有溶血的几率小，怀过再要第二胎溶血几率更大，所以你朋友可能之前就打过,46
我连自己日子都过不好，哪敢让孩子和我们一样遭罪。又是房贷，车贷，每天工作到死还不够个彩礼钱。还天天被家长催孩子，笑死根本养不起。三胎更不可能，现在这年头早就不是越穷越要生了,86
唉，现在感觉三胎这种东西太不现实了,17
流产多了，子宫壁变薄就不能生育了，这伤害是不可逆的。,26
避孕套有很多人使用不规范，不是单纯直接套上就好使的。而且就算规范使用，要是只用避孕套三年没怀孕，但就有很大几率那两人有一个生育能力堪忧,67
中国都有三胎政策了,9
送子娘娘：天使是吧，生育是吧，完成任务是吧，还抢业务抢到我着来了,32
他想生猴子,5
我的二胎就是杰士邦破了来的，这辈子都不会再用杰士邦,25
层主指的是有的人歧视这个职业，而你说的是说能不能说她拍av。层主又没不让你说她拍av。杠精下次杠的时候逻辑缕清了好吧,58
想想那些比较危险的职业然后类比一下就行( ´_ゝ｀)还有，女优是女优，jn是jn，两者是完全不同的，并且，不要歧视，不要歧视，不要歧视,67
真搞不懂那些走人流的小情侣是面子重要还是未来重要，不想生孩子，不想对孩子负责，就去买几个套嘛，就知道整些活来折磨自己,58
谁说主播不要卖的，现在主播行业竞争那么大,20
观点不同而已，在有些国家这只是被视为一种交易而已。就像没有哪个日本人会歧视安慰女优,41
别人没说错啊，都是社会底层，难道不是弱势群体？？不都是为了生存，干嘛这么歧视别人,40
我也不觉得站街女是在歧视流浪汉，只是在最恶劣的环境下，尽可能确保自己身体健康吧。正因为没钱才站街，真得病了，那基本就game over了。借钱看病，那就会被控制。没钱拖着，基本就失去工作能力了。,97
穷，当然不是必须去卖 啊，我也没这么说好吗！ 原来的评论是【站街女，值不值得同情】，而不是【穷就必须卖】，好吗! 而且有的时候人的选择真的不多，甚至别无选择，处于穷困中的人，往往是百事哀，被生活逼迫着去做不想做的事，我们身处的中国社会告诉发展，机会很多，只要肯干就有机会，视频中的社会可不是，欧洲有些国家年轻人的失业率夸张死了，25%y以上。你要是看了我的评论，你就知道我还提到有些站街女是【被拐卖】【被骗】【别胁迫】，你只看表面，真的没法这么一概而论的对她们做评判吧，站街女背后的故事和原因真的太多 了，有些原因太残酷，不仅仅是她们自身的原因就都能解释的了的。 再重复一遍，别一概而论的作评价，这不合理！ 学生xx，站街女xx，80后xx，这种句式，太没营养了！,332
横尸街头的说法实为荒谬，在中国找份扫厕所扫大街等工作拮据点一样能活得好好的，就算你懒到饿死都不肯做，你也有失业金，啃馒头吃白饭都饿不死，做妓完全就是因为不用劳动钱来得快（作践自己不关我事，但是对社会的危害在主楼说了，这就关乎每个人的事了）；另外请不要代表世界的其他男人，大部分男性一辈子都不会找妓。打麻将的例子笑死，只有以赌博为业（开设赌场做庄之类）才能构成犯罪，法盲！,185
我朋友和你一样，他还是谈了好多年，8年，还去了多次女方家里，结果女方家也是说不同意女儿远嫁，讨厌大城市人，反正一直就是这个理由，但是他自己父母在见过女方后，也不喜欢女方家是农村的和无学历，他们是网恋，我朋友是上海市区的半知识分子家庭，女方是四川四线城市里乡镇上的，但是长得不错，很漂亮，结果分手前女方家突然说想来谈谈，但是他父母完全回绝，不肯再见女方，所以就被迫分手了，然后分手不到半年，女方就远嫁到二线城市了，因为那个男的家里出钱给女的开了个餐饮店所以有些女生所谓的不能做主，实际上是利益和父母一致，结果我朋友十来年过去了，还觉得只是父母拆散，实际上也是女方自己就没有选择他，然后那个女的结婚2年就离婚了，带了孩子回到农村镇上老家，还联系他想让他接盘，反正就天天说爱他好爱他，可惜曾经被父母拆散这种话，我们都说如果爱你，又不是没手没脚当初到上海打份工硬要跟你怎么不行，他说女方说自己被父母关起来了，如果敢跑出来就要抓回去，额，这种理由基本也就只有困在那个漩涡里的人信吧，其实无非就是想要钱，那个女孩花了我朋友十几万，电话费都打了几万，一天2-3小时电话粥，长途，就这要结婚了，还是想另要，但是我朋友那会从学生到上班赚的钱都花给女方了，而且最主要还没睡到，亲都没亲过，只是牵过手和抱过几下，真是绝了，哈哈哈,553
前几天，我好朋友向我表白了，他说他是处，我说不是处女。但是他说他非常喜欢我，他说他也不介意我的过去。我离婚后几年，我应该又要相信爱情了。,68
男的结扎就是 把输精管切断，两头分别包扎，每次射的时候jizi会被挡在一边然后被巨噬细胞吞噬分解，不影响xi欲，对身体也没什么坏处，甚至想生娃了还可以接起来也就是说可恢复，emm我是从污碟说那看来的(=・ω・=),106
有的人适合短期避孕药，有的人吃了后会体重增加，月经量减少。而且只能确保不会影响生育。所以现在避孕t还是主流。,54
……不剥夺生育能力啊,10
能戴套为什么要结扎？不管男女！都不能剥夺生育能力！但要计划生育,31
我觉得电竞圈和体育圈毕竟相似，都是一种职业。当时林丹出轨不还是没取消他的就业资格。,41
抱歉，我刚说的那一段话里面不小心打错字了 会不会是因为方言差距，所以我说的话有点难以理解，我不是地域歧视,52
当然我这种情况不建议无脑效仿，也是我自己觉得这个对象靠谱，两个人也年轻，第一次对这方面好奇，当然我也有勇气承担不良后果，前提也是要遇到善良的人。 我也是看网上说，喜欢一个人，看这个人合不合适，不仅要看交流方面，还要看身体是否合适，现在好多夫妻没有性福，也是离婚率高的原因之一。,138
为什么不能发出来，这都是事实。凭什么女生不可以知道事实和真相？就算女生不想生孩子了，你又能怎么地？自私自利的人。,56
这种东西？他发的就是个科普视频 只有当人知道危害多大才会保护这方面 而且一个视频不会让任何一位女性不想生孩子 只要有真正爱她负责的人 再痛苦也愿意生 这视频是堕胎的危害 关不想生孩子屁事 你不会也就是所谓为了孩子不顾另一半的奇葩人吧,116
呃，会的男科病，也不好治，不会怀孕倒是，打胎伤害太大，家里有妇科医生的亲戚就知道了，现在年轻人，怀孕的年龄是越来越低，打胎的次数是越来越多，最后结婚的生育年龄是越来越高，最后都是不好生，生不了，生育成本最后都转嫁到，最终结婚的人身上，这叫内卷，,122
虽然我是不婚主义的男性。 但特别反对你这句【女性对后代和血脉的执念几乎没有，后代和血脉都是男性在传承】 因为。 男性传承血脉和后代不过是责任和义务，并非是生理系统上。 【你看不守男德的渣男，需要对蹦出来的后代和血脉负责吗？】 【后代和血脉对渣男来说，不就是站着撒尿一样的玩意儿】 你拥有这个想法，我觉得【你】和【渣男】一个道德水平，思想状态。 啧啧，,175
在中国好像自古以来都是只有男的才能传宗接代所以你们倒是传宗接代了，孩子随你姓了，那女性呢？就是生育机器？为了完成你男的传宗接代的工具？所以你能说出这样的话，也只为了你自己着想,87
当然，如果我的伴侣不想生。我也会尊重她的意见。反正就依她嘛,29
