主题ID,数据来源,文档数,前10关键词,关键词得分
0,bullets,349,"二胎, 还二胎, 我是第二胎, 二胎来的太快就像龙卷风, 二胎都有了, 我要二胎, 还生二胎, 但是那时候不允许二胎, 二胎来的, 哈哈哈哈哈哈哈","0.0504, 0.0214, 0.0159, 0.0159, 0.0159, 0.0159, 0.0159, 0.0159, 0.0159, 0.0159"
1,bullets,254,"三胎, 生三胎, 三胎了, 三孩, 三胎呵呵, 支持三胎, 鼓励三胎, 三胎呢, 说三胎的, 三胎来了","0.0757, 0.0292, 0.0176, 0.0176, 0.0176, 0.0176, 0.0176, 0.0176, 0.0176, 0.0176"
2,bullets,149,"不是歧视, 职高怎么了, 黑人最歧视亚洲人却要求别人不要歧视他们, 身高歧视啊, 歧视, 活该被歧视, 我也歧视你, 我也歧视你 活该被歧视, 但大多数的专科确实能力比较差 林家班果然歧视女人, 但大多数的专科确实能力比较差 林家班果然歧视女人 硬核歧视台湾人","0.0538, 0.0399, 0.0399, 0.0399, 0.0399, 0.0399, 0.0399, 0.0399, 0.0235, 0.0235"
3,bullets,128,"离婚带娃, 一个不能生的男人有什么用, 你在侮辱前夫 前夫 还是不爱了吧, 你在侮辱前夫 前夫, 你在侮辱前夫, 你前老公想要你不要 你离婚 后面找的弟弟玩, 你前老公想要你不要 你离婚, 你前老公想要你不要, 你们不管家庭暴力, 但无论谁 两个人的事情又怎么样 就像离婚一样","0.0430, 0.0253, 0.0253, 0.0253, 0.0253, 0.0253, 0.0253, 0.0253, 0.0253, 0.0253"
4,bullets,108,"私自, 生育权是女性自己的权利, 生育权属于女性, 女性才有生育权, 女性拥有生育权, 女性有生育权, 想生就生, 是的, 一个女孩子的生育能力要别人做决定, 中国女性拥有自主生育权 没毛病呀 这是女方的生育权","0.0771, 0.0771, 0.0771, 0.0771, 0.0771, 0.0771, 0.0692, 0.0595, 0.0453, 0.0453"
5,bullets,92,"离婚吧, 不离婚, 不值得, 千万别离婚, woc赶紧离婚, 休夫 丧夫 要我我就离婚, 他家断子绝孙是报应 再不离婚说句难听的 死了还要和他葬一起, 他家断子绝孙是报应 再不离婚说句难听的, 他家断子绝孙是报应, 他们会祸害你一辈子的 建议离婚或者外面各玩各的 真的没意思","0.0546, 0.0530, 0.0458, 0.0458, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269"
6,bullets,89,"up每次让她离婚, 为这种人不值啊, 为这种人不值啊 让她离婚滚蛋就好了, 之前又何苦随大流相亲结婚又离婚, 之前又何苦随大流相亲结婚又离婚 独立女性也可以, 之前又何苦随大流相亲结婚又离婚 独立女性也可以 因为她不听话所以离婚的, 之前节目算命就说过她, 之前节目算命就说过她 未婚生子离婚当小三什么的, 之前节目算命就说过她 未婚生子离婚当小三什么的 我妈也是当初为了我不离婚, 也不想跟她家有经济来往","0.0482, 0.0482, 0.0482, 0.0482, 0.0482, 0.0482, 0.0482, 0.0482, 0.0482, 0.0482"
7,bullets,88,"丁克, 爱生不生 当丁克吧 兵役可是强制, 丁克吧, 爱生不生 当丁克吧, 丁克了丁克了, 丁克丁克, 做丁克吧, 兵役可是强制, 当丁克吧, 丁克路过","0.1038, 0.0450, 0.0450, 0.0450, 0.0450, 0.0450, 0.0450, 0.0450, 0.0450, 0.0450"
8,bullets,83,"一方不同意就不能堕胎, 但如果把堕胎用来标榜这个权利就是sx 就是这, 但如果把堕胎用来标榜这个权利就是sx 就是这 当有一天生育率和堕胎率走向两极, 但是不管怎么说生育的后遗症比堕胎大呀, 但是不管怎么说生育的后遗症比堕胎大呀 流产次数多了以后想生也生不了了, 但是不管怎么说生育的后遗症比堕胎大呀 流产次数多了以后想生也生不了了 原来根本问题是工业化社会的生育率下降, 但是合理生育和合法堕胎也要反对吗, 但是合理生育和合法堕胎也要反对吗 堕胎万岁, 但是合理生育和合法堕胎也要反对吗 堕胎万岁 计划生育万岁, 但是堕胎堕多了就无法生育了","0.0408, 0.0408, 0.0408, 0.0408, 0.0408, 0.0408, 0.0408, 0.0408, 0.0408, 0.0408"
9,bullets,73,"计划生育, 计划生育 计划生育, 当年计划生育, 万恶的计划生育的宣传 计划生育 以前计划生育有这个, 万恶的计划生育的宣传, 万恶的计划生育的宣传 计划生育, 不人道的计划生育手段, 不人道的计划生育手段 前边说计划生育主要结扎男性的, 不人道的计划生育手段 前边说计划生育主要结扎男性的 并没有, 不是 很多","0.5621, 0.1810, 0.1810, 0.1064, 0.1064, 0.1064, 0.1064, 0.1064, 0.1064, 0.1064"
