Topic,Count,Name,Representation,Representative_Docs,Data_Source
-1,1434,-1_当然_哈哈_所以_但是,"['当然', '哈哈', '所以', '但是', '加油', '意外怀孕', '生育行吗', '最后', '没必要和男人发生纳入性行为 纳入性行为只会让女人致病致孕', '没必要和男人发生纳入性行为']","['看了好几个相当女孩的评论，那我来！ 下辈子我要做个好男人，艰苦奋斗，拼搏进取，跨过职场歧视，为实现中华民族伟大复兴做贡献！为人人平等的共产主义社会奋斗！', '本视频讲述了女性射精的概念和研究，提到女性射精和男性射精的相似之处，以及女性射精的位置和成分。同时，视频也提到了如何触发女性射精，需要准确刺激G点位置，达到高潮巅峰。视频呼吁大家了解女性射精的知识，提高性生活质量。--以上内容由AI视频小助理生成，关注解锁AI助理，由 召唤发送', '工资上涨，物价不涨 每周多放两天假 你看看结婚率生育率是不是往上直线飞 男的觉得没有女的生活轻松一点 女的觉得没有男的生活轻松一点 大家都不轻松，就自然不想一起了，有钱人的百分比，终究是少数']",comments
0,285,0_没有ky_二胎_天呐_为什么最近老是推送给我这种,"['没有ky', '二胎', '天呐', '为什么最近老是推送给我这种', '已经放弃二胎', '又想骗我们生二胎', '想起来小时候墙上面喷的一胎结扎二胎上环', '我二胎都get了', '我娃12年的 现在', '我娃12年的']","['我二胎都get了，为什么最近老是推送给我这种', '我娃12年的。。。现在。。。还行吧！已经放弃二胎', '我娃12年的。。。现在。。。还行吧！已经放弃二胎']",comments
1,260,1_不想生孩子_不想生孩子了_我不想生孩子_好可怕,"['不想生孩子', '不想生孩子了', '我不想生孩子', '好可怕', '不想生就不生', '但是', '男方不想结婚不想生孩子', '相亲网站认识 男方不想结婚不想生孩子', '不想生的', '真的害怕']","['不想生孩子，谁要生谁生去，要生就和渣男分手', '不……不想生孩子，也不想养……', '好惨，好可怕。我害怕，我不想生孩子']",comments
2,179,2_价值_劳动_私生子事件_不歧视,"['价值', '劳动', '私生子事件', '不歧视', '家庭劳动', '感觉这里一些人对女生年龄充满恶意', '慢慢变成强势文化', '我倾向于认为是一段婚姻存续期间', '我倾向于认为是一段婚姻存续期间 只有配偶一个性伴侣', '我倾向于认为是一段婚姻存续期间 只有配偶一个性伴侣 而非']","['没想到大数据居然给我推送了这篇倡导相对保守性观念的视频。 虽然我现实中的性行为比较保守，坚持忠于另一半，但却并不拒绝了解那些前沿的想法，如开放式、多人…… 同时我也觉得不同观念的人宣扬各自的生活理念是理所应当的，都有这个权利。 唯一的反对意见是up主对“一夫一妻制”的解读： 我倾向于认为是一段婚姻存续期间，只有配偶一个性伴侣；而非“一生只有一段婚姻”之类。 “婚姻自由”是基本国策，这当中包含了“离婚自由”。我非常不希望不小心走进错误婚姻的2个人，因为“一生一段婚姻”这类的理念而痛苦地生活在一起。', '请各位加油复制。 看拂菻坊删不删的过来，以下蓝色字可以直接点开。 #芳芳人生的九件大事# 1: 发表歧视犹太人言论 2: 发表歧视黑人言论 3: 发表建议血洗学校言论 4: 发表其父吃饭呼吸时如同肺穿孔的猪的言论 5: 发表建议抑郁症患者去自杀的言论 6: 发表为鸦 片战争开脱的言论 7: 发表辱骂粉丝是狗言论，并扬言要去抽粉丝 8: 在视频里做出猥亵下流动作，对青少年造成不良影响 9: 组团攻击其他的视频制作者” 芳芳神技素质三连b站号 英国佬试吃中国包子称英国包子都是垃圾（不可思议！！）， 【拂菻坊】你们要看明白， av18887655 英国人爱喝茶，中国人爱吸 鸦 片： av23231791 私生子事件: cv254160 知乎实锤: 雷神之锤： cv336003 cv335546 cv335283 cv3315 cv333493 cv333586 cv333689 cv333911 以上蓝色字可以直接点开了 手机端评论区右上角竖着的三个点查看历史删除日志 评论在以每分钟几个的顺序一直被删 也可以看一下。 拂菻坊最近不删评论，但是评论被举报的速度异乎寻常，看来是删评论脚本太引人注目，所以换成自动举报，这样虽然删得慢，但是评论日志不会出现删除提示，拂菻坊以为这样能瞒天过海。 芳芳最厉害的一句言论大家来听听:“我希望你的孩子能在你之前死，这样你就能亲手把他放进那个小小的坟墓” 拂菻坊的视频在YouTube上是怎么样的:拂菻坊的视频在youtube上面的评论是什么样的？ 以前挺喜欢他的，但是我不能让这样一个人继续好像什么都没有发生一样拍视频让不知道真相的人仰慕他', '拂菻坊的粉丝们快来看看你们爱豆的视频啊、说他们喜欢喝茶、你们喜欢吸鸦_片、可带劲了、戳-> av23231791 拂菻坊的视频在youtube上面的评论是什么样的？ 弗林芳新神技了解一下，之前的实锤已经被自动举报删干净了，那就再发一次好了，我相信他删不过来。性感芳芳，在线删评（继续） 多发几次，看你删得过来吗 看到的复制后再转发，大家一起来 顶我上去 勿谓言之不预也！其人该当金玉其外败絮其中，然则不已，金玉尚有表面风光，芳君此日此时，秀如穹天之云，雷劈电闪不为过！又如柏油墨路，车碾人踩难泄恨！ 古人云，小时了了，大未必佳。如此道来，想芳君小时，必当了了。又或言，芳君小时，了了不足，此乃先天不足，后天之缺乏，实乃大幸！ #芳芳人生的九件大事# 1: 发表歧视犹太人言论 2: 发表歧视黑人言论 3: 发表建议血洗学校言论 4: 发表其父吃饭呼吸时如同肺穿孔的猪的言论 5: 发表建议抑郁症患者去自杀的言论 6: 发表为鸦|片战争开脱言论 7: 发表辱骂粉丝是狗言论，并扬言要去抽粉丝 8: 在视频里做出猥亵下流动作，对青少年造成不良影响 9: 组团攻击其他的视频制作者 10.听说中国有5000年历史，只怕有300百年被英国抢走了，我大英帝国博物馆~(记忆中，微博上，可能不是原文！发了文物图片！) 芳芳神技素质三连b站号 英国佬试吃中国包子称英国包子都是垃圾（不可思议！！）， 【拂菻坊】你们要看明白， av18887655 拂菻坊删除了论鸦.片战争的视频，大意：英国人爱喝茶，中国人爱吸鸦|片。优酷可查 私生子事件: 私生子事件: 知乎实锤: 雷神之锤： cv336003 cv335546 cv335283 cv3315 cv333493 cv333586 cv333689 cv333911 这是flf在YouTube上发的视频底下的评论 抱歉！']",comments
3,169,3_禁止堕胎_比起默认 写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权_比起默认_写进宪法的好处是,"['禁止堕胎', '比起默认 写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权', '比起默认', '写进宪法的好处是', '写进宪法的好处是 比起默认', '写进宪法的好处是 比起默认 写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权', '写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权', '问题', '自由', '同时']","['写进宪法的好处是：比起默认，写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权。', '写进宪法的好处是：比起默认，写进宪法不会随着生育政策的变化而缩紧或放宽堕胎权。', '为什么堕胎？因为不想生下孩子，为什么不？原因有很多，因为他们有的是学生，有的是没有能力抚养孩子的无助女人，还有可能是因为他们的工作，也或许这是个意外，她根本不想要孩子，更残酷些，是被迫，没有为什么他们不生。不要说这样残忍，冷酷，她们生下来对自己可能对自己是一种伤害，甚至会毁掉他们的一生，毁掉的人生和根本不爱甚至仇恨的孩子，制造一个本可避免的悲剧，承担一个生命的责任和痛苦，这不更是一种悲剧？而不生，堕胎留下的后遗症会伤害她们，甚至伴随一生，她们会痛，甚至再也不能拥有孩子，而她们堕掉孩子后承受世俗的蜚语，甚至自我的谴责很可能会成为压垮她们最后的稻草，不要说那些不爱孩子的人的例子，不爱，很正常，在没有认同后果的性 。爱中产生的孩子是个意外，谁会爱意外？但应该被诟病的是保护措施以及侥幸心理，而不是人性所共有的特点——自私。理性的说，她们并非不爱，因为不对，不对的时间，不对的地点，不对的阶段，她们无法爱而已，不是她们没有爱，是无法爱。人性如此，不是每个人都包含这种同情，会承担本可避免的痛苦去“拯救”一个还未成“人”的生命。 在这个问题上，我们似乎怎么做都会被伤害，或许个体能避免，但这毕竟少数，我们能做的，做的最对的，无非是避免不必要的伤害，所以务必做好保护措施，甚至，在没有准备好“意外”到来时不要去做“危险”的事，而社会要对堕胎的人更多包容，因为不仅有无辜的孩子，也有无辜的无助的“母亲”，她们被迫，她们无奈，痛苦，社会的不包容，网络的谴责可能是击垮她们最后的稻草！舆论这把刀不能割下所有冒头的稻草，而“谴责”只是留给那些利用生命做自己罪行的挡箭牌的人，这是对法律生命的真正践踏。 最后，请不要把牛鬼蛇神的意义附加在堕胎这个话题上，也不要拿所谓的道德绑架她们，这本就是个无法谈论的“道德”问题，我们做的只有避免以及共情，去传播堕胎的可怕不是要制止堕胎，而是从根源遏制，做好保护措施，不要早尝禁果。（仅我个人观点）']",comments
4,149,4_w妇女年_避孕_皮埋_一定要做好避孕措施,"['w妇女年', '避孕', '皮埋', '一定要做好避孕措施', '10', '为什么要戴这个啊 现在避孕方法不是有很多吗', '在双方没有怀孕生育意愿时', '各种方法也都短暂试过', '可以男生戴避孕套 或者之后女生不是可以吃避孕药吗 或者不想生', '可以男生戴避孕套 或者之后女生不是可以吃避孕药吗']","['性爱安全小助手提醒您：在和女朋友做爱的时候，在双方没有怀孕生育意愿时，不管出于什么原因，一定要做好避孕措施，套套带紧紧，爱爱做的开', '为什么要戴这个啊，现在避孕方法不是有很多吗，可以男生戴避孕套，或者之后女生不是可以吃避孕药吗，或者不想生，可以去医院做结扎啊，我就在翻我家东西时，看见有个本子是我爸去做结扎的资料', '为什么要戴这个啊，现在避孕方法不是有很多吗，可以男生戴避孕套，或者之后女生不是可以吃避孕药吗，或者不想生，可以去医院做结扎啊，我就在翻我家东西时，看见有个本子是我爸去做结扎的资料']",comments
5,137,5_离婚吧_前夫_先离婚_离婚啊,"['离婚吧', '前夫', '先离婚', '离婚啊', '离婚了没', '还不是离婚了', '渣男 还不是离婚了', '应该早点跟渣男离婚', '可惜了他老婆', '可惜了他老婆 应该早点跟渣男离婚']","['离婚吧，飞远点', '可惜了他老婆，应该早点跟渣男离婚', '可惜了他老婆，应该早点跟渣男离婚']",comments
6,99,6_生育率低_三个维度中间修修补补调整调整_天然带来生育意愿的下降_天然带来生育意愿的下降 人口不足又和工业时代对工人的要求矛盾,"['生育率低', '三个维度中间修修补补调整调整', '天然带来生育意愿的下降', '天然带来生育意愿的下降 人口不足又和工业时代对工人的要求矛盾', '天然带来生育意愿的下降 人口不足又和工业时代对工人的要求矛盾 在如何增加人口这个问题上', '在这之前能挨一天是一天', '家长权威性降低 天然带来生育意愿的下降 人口不足又和工业时代对工人的要求矛盾', '工业社会带来的养育成本巨幅上升', '工业社会带来的养育成本巨幅上升 家长权威性降低', '工业社会带来的养育成本巨幅上升 家长权威性降低 天然带来生育意愿的下降']","['在现在这个出生率和结婚下，还在保房价，会进一步导致结婚率出生率再次下降。以及这两年推出的未婚生育等政策。 我怀疑哪天哪个当局者看到这个视频后会开始以“科普性教育”为借口推宽安全教育然后可以导致好多青少女未婚先育', '其实我觉得这是在摸着石头过河。 工业社会带来的养育成本巨幅上升，家长权威性降低，天然带来生育意愿的下降。人口不足又和工业时代对工人的要求矛盾。在如何增加人口这个问题上，各个工业化的现代国家都在摸着石头过河，免不了有掉河里的。希望我们能过得去。 无非是在“鼓励生育”，“保障婚姻”，“提供福利”三个维度中间修修补补调整调整……事情的真正解决可能还是要等自动化，智能化，机器人继续滚雪球，提高每个人的生产力……在这之前能挨一天是一天……', '其实我觉得这是在摸着石头过河。 工业社会带来的养育成本巨幅上升，家长权威性降低，天然带来生育意愿的下降。人口不足又和工业时代对工人的要求矛盾。在如何增加人口这个问题上，各个工业化的现代国家都在摸着石头过河，免不了有掉河里的。希望我们能过得去。 无非是在“鼓励生育”，“保障婚姻”，“提供福利”三个维度中间修修补补调整调整……事情的真正解决可能还是要等自动化，智能化，机器人继续滚雪球，提高每个人的生产力……在这之前能挨一天是一天……']",comments
7,70,7_一次性买断能做家务能满足你除生育的一切需求_被霸凌 升学考试竞争激烈 大学毕业就业难_被霸凌 升学考试竞争激烈_被霸凌,"['一次性买断能做家务能满足你除生育的一切需求', '被霸凌 升学考试竞争激烈 大学毕业就业难', '被霸凌 升学考试竞争激烈', '被霸凌', '房贷车贷 孩子学前教育 上学', '房贷车贷 孩子学前教育', '房贷车贷', '孩子学前教育 上学 被霸凌', '孩子学前教育 上学', '孩子学前教育']","['大家稳住要不了10年就有机器人伴侣了，一次性买断能做家务能满足你除生育的一切需求。', '房贷车贷，孩子学前教育，上学，被霸凌，升学考试竞争激烈，大学毕业就业难，我又没那么多能力给孩子躺平的条件，这些避孕效果最棒', '房贷车贷，孩子学前教育，上学，被霸凌，升学考试竞争激烈，大学毕业就业难，我又没那么多能力给孩子好的条件，这些避孕效果最棒']",comments
8,61,8_丁克_谢谢_丁克税 哔哩哔哩_苏联居然真开征了单身税 丁克税,"['丁克', '谢谢', '丁克税 哔哩哔哩', '苏联居然真开征了单身税 丁克税', '苏联居然真开征了单身税', '由缰小记 苏联居然真开征了单身税 丁克税', '由缰小记 苏联居然真开征了单身税', '由缰小记', '我丁克', '哔哩哔哩']","['男，28，丁克，已扎。夫妻都极烦小孩，所以就做了。 讨论结扎的没必要总讨论复通率，考虑说明就没做好打算，老实戴吧', '【【由缰小记】苏联居然真开征了单身税、丁克税-哔哩哔哩】', '【【由缰小记】苏联居然真开征了单身税、丁克税-哔哩哔哩】']",comments
