主题ID,数据来源,文档数,前10关键词,关键词得分
0,replies,395,"所以, 首先, 生育权, 其次, 失业率 通胀甚至是大滞涨明明已经发生了, 通胀甚至是大滞涨明明已经发生了, 看似是联邦和州矛盾, 看似是联邦和州矛盾 实际上引爆堕胎话题之后还有多少人关注新冠, 看似是联邦和州矛盾 实际上引爆堕胎话题之后还有多少人关注新冠 失业率, 失业率","0.0608, 0.0429, 0.0409, 0.0407, 0.0384, 0.0384, 0.0384, 0.0384, 0.0384, 0.0384"
1,replies,295,"丈夫不得以其享有生育权为由强迫妻子生育, 如果妻子不愿意生育 丈夫不得以其享有生育权为由强迫妻子生育 如果夫妻在生育问题上的意见分歧最终无法协调, 如果妻子不愿意生育 丈夫不得以其享有生育权为由强迫妻子生育, 如果妻子不愿意生育, 如果夫妻在生育问题上的意见分歧最终无法协调 致使婚姻关系难以维系的 离婚是解决双方争议的合理途径, 如果夫妻在生育问题上的意见分歧最终无法协调 致使婚姻关系难以维系的, 如果夫妻在生育问题上的意见分歧最终无法协调, 女方拥有最终的生育决定权 这是为了保护妇女在生育问题上的自主权利 不受丈夫意志的左右, 女方拥有最终的生育决定权 这是为了保护妇女在生育问题上的自主权利, 女方拥有最终的生育决定权","0.0522, 0.0522, 0.0522, 0.0522, 0.0522, 0.0522, 0.0522, 0.0522, 0.0522, 0.0522"
2,replies,271,"还插一嘴 有个知乎老哥就这样被完了 一开始他媳妇说想要丁克, 几年以后他媳妇又想要了, 知道他不能生后, 于是他就去结扎 几年以后他媳妇又想要了 知道他不能生后, 于是他就去结扎 几年以后他媳妇又想要了, 于是他就去结扎, 知道他不能生后 就离婚了, 还插一嘴, 还插一嘴 有个知乎老哥就这样被完了, 几年以后他媳妇又想要了 知道他不能生后","0.0626, 0.0626, 0.0626, 0.0626, 0.0626, 0.0626, 0.0626, 0.0626, 0.0626, 0.0626"
3,replies,220,"你敢想象我俩同事的俩孩子相差只有一岁吗怎么来的二胎, 二胎双胞胎不算超生, 不是二胎, 计划生育, 我是二胎 家里同辈里就两个女孩子 我们家硬是走了好多关系才把我生下来, 我妈娘家那时候有人怀了二胎会被zf强行拉去打掉的也不少 很多人都东躲西藏的, 我妈娘家那时候有人怀了二胎会被zf强行拉去打掉的也不少 很多人都东躲西藏的 家里头胎是男孩的就不给在生的, 我是二胎 家里同辈里就两个女孩子, 鸽蛋视频我都收藏了 晚点儿发给他, 我爸妈70后我今年二十出头","0.0980, 0.0980, 0.0916, 0.0737, 0.0714, 0.0714, 0.0714, 0.0714, 0.0714, 0.0714"
4,replies,198,"男性结扎后, 结扎, 不论男女, 打个比方 一对夫妻的孩子小时候夭折了 还想再生一个, 打个比方 一对夫妻的孩子小时候夭折了, 所以需要到有资质的医院 由专业的医生来进行完成输精管吻合手术, 成功率还是比较低的 尤其是那些结扎时间长的大龄备孕者, 成功率还是比较低的 尤其是那些结扎时间长的大龄备孕者 往往预后不理想, 有效期五年, 成功率还是比较低的","0.0886, 0.0783, 0.0783, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646"
5,replies,132,"我小舅妈, 我妈说他们夫妻俩孩子太密, 然后高龄产妇 剖腹产 半夜羊水破, 然后高龄产妇 剖腹产, 然后高龄产妇, 我妈说他们夫妻俩孩子太密 还有我另一个小舅妈, 我小舅妈 三年俩娃 我妈说他们夫妻俩孩子太密, 我小舅妈 三年俩娃, 我妈说他们夫妻俩孩子太密 还有我另一个小舅妈 在我小妹三四岁的时候就流了好几个, 早产儿","0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886"
6,replies,124,"我独生女 我出房出车 彩礼也要, 接受丁克 但是如果生育 孩子无论几胎都必须跟我姓, 数目随意, 我独生女 我出房出车, 我独生女, 我出房出车 彩礼也要 数目随意, 我出房出车 彩礼也要, 我出房出车, 我个人是另外一种模式 我独生女 我出房出车, 我个人是另外一种模式 我独生女","0.0982, 0.0982, 0.0982, 0.0982, 0.0982, 0.0982, 0.0982, 0.0982, 0.0982, 0.0982"
7,replies,121,"现在还凑合过呢, 现在还凑合过呢 他俩都多少年分局了, 我小时候父母就闹离婚 现在还凑合过呢 他俩都多少年分局了, 我觉得现在抑郁的孩子越来越多和家长教育理念教育方式都有很大关系, 我小时候父母就闹离婚, 我小时候父母就闹离婚 现在还凑合过呢, 心理上的, 我觉得现在抑郁的孩子越来越多和家长教育理念教育方式都有很大关系 也和原生家庭氛围有关系, 原生家庭, 谢谢你","0.1122, 0.1122, 0.1122, 0.1122, 0.1122, 0.1122, 0.1122, 0.1122, 0.1027, 0.0959"
8,replies,119,"都把婚姻生孩子描绘的很美好, 以前那些长辈怕女孩不结婚怕生孩子, 以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好 就怕了解清楚女孩就不想生娃结婚了, 以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好, 哄女孩子生孩子的 以前那些长辈怕女孩不结婚怕生孩子, 哄女孩子生孩子的, 哄女孩子生孩子的 以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好, 就怕了解清楚女孩就不想生娃结婚了, 都把婚姻生孩子描绘的很美好 就怕了解清楚女孩就不想生娃结婚了, 就怕了解清楚女孩就不想生娃结婚了 哄女孩子生孩子的 以前那些长辈怕女孩不结婚怕生孩子","0.1221, 0.1221, 0.1221, 0.1221, 0.1221, 0.1221, 0.1221, 0.1221, 0.1221, 0.0980"
9,replies,105,"挺好的 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下, 一楼某些言论根本不是想改善生育风险和痛苦, 一楼某些言论根本不是想改善生育风险和痛苦 目的只是让另一部分群体 受罪, 一楼某些言论根本不是想改善生育风险和痛苦 目的只是让另一部分群体, 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下, 想让其他人生孩子的时候 视频里说的腹腔妊娠的巨大危害根本不考虑 说到共同努力实现体外妊娠的时候开始说取卵多受罪了, 想让其他人生孩子的时候 视频里说的腹腔妊娠的巨大危害根本不考虑, 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下 让他们理解一下 是不是就他们上下两张皮说的那么简单, 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下 让他们理解一下, 我觉得那种可以模拟女性生育痛苦的那个机器 挺好的 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下","0.1071, 0.1071, 0.1071, 0.1071, 0.1071, 0.1071, 0.1071, 0.1071, 0.1071, 0.1071"
